substrat_code,Bez_ST,Kurz_NT,long,base_initial,Initial,x2,Reaktion,Genese,genesecode,ausgangssubstrat,chemie_gg_code,Festgestein,geomorphologie,metamorphie,Beschreibung,Boden
161,HaIn-Schuttinterm.,HaIn,Hangschuttsilikatisch-intermed.,I,I,I,3,Ha,2,Ha,1,,Hangschutt,,HangschuttMoraenenausbasenarmen/intermediaeremSilikatmaterialmitmittleremFeinbodenanteil,
165,HaI+Schuttinterm.-reich,HaI+,,,,I,3,Ha,2,Ha,1,,Hangschutt,,,
174,HaB-Schuttbasenr.-arm,HaB-,Hangschuttbasisch-feinmaterialarm,B,B-,B,5,Ha,2,Ha,2,,Hangschutt,,"HangschuttausbasenreichenaberkalkfreiensandigenundrueckstandsarmenSilikaten(SiB-):z.B.ausBrixnerGranodiorit,Tonalit",
171,HaBaSchuttbasenr.,HaBa,Hangschuttbasisch-kalkfrei,B,B,B,5,Ha,2,Ha,2,,Hangschutt,,HangschuttausbasenreichenaberkalkfreienSilikaten(SiBa)mitmittleremFeinmaterialanteil,
175,HaB+Schuttbasenr.-kalkf.,HaB+,Hangschuttbasisch-feinmaterialreich,B,B+,B,5,Ha,2,Ha,2,,Hangschutt,,"HangschuttausbasenreichenbindigenSilikaten(ausbasischenFeinklastika,z.B.WengenerSch.)",
184,HaM-Schuttsil.-karb.arm-arm,HaM-,Hangschuttsilik.-karb.arm-feinmaterialarm,M,M-,M,2,Ha,2,Ha,3,,Hangschutt,,"Hangschuttausausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitleichterBodenartu/ogeringemFeinbodenanteil(Karbonatgehalt10-35%)",
181,HaMiSchuttsil.-karb.arm,HaMi,Hangschuttsilikatisch-karbonatarm,M,M,M,2,Ha,2,Ha,3,,Hangschutt,,"Hangschuttausausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitmittlererBodenart(lU-sL)u/omittleremFeinbodenanteil(Karbonatgehalt10-35%)",
185,HaM+Schuttsil.-karb.arm-reich,HaM+,Hangschuttsilik.-karb.arm-feinmaterialreich,M,M+,M,2,Ha,2,Ha,3,,Hangschutt,,"Hangschuttausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitschwererBodenartu/ohohemFeinbodenanteil(KarbonatgehaltimAusgangsgestein10-35%)oftGrundMoraenenauslehmigem-tonigFeinmaterial(>65%Tongehalt)",bindig
194,HaC-Schuttsil.-karb.reich-arm,HaC-,Hangschuttsilik.-karb.reich-feinmaterialarm,C,C-,C,1,Ha,2,Ha,3,,Hangschutt,,"HangschuttausbasenreichenundkalkhaltigenSilikaten(M-,C-)odergemischtausKarbonatenundSilikaten(Karbonatgehalt35-65%)-rueckstandsarm",
191,HaCaSchuttsil.-karb.reich,HaCa,Hangschuttsilikatisch-karbonatreich,C,C,C,1,Ha,2,Ha,3,,Hangschutt,,HangschuttausbasenreichenundkalkhaltigenSilikatgest.(CaSi)odergemischtausKarbonatenundSilikaten(Karbonatgehalt35-65%)mitmittleremFeinmaterialanteil,
195,HaC+Schuttsil.-karb.reich-reich,HaC+,Hangschuttsilik.-karb.reich-feinmaterialreich,C,C+,C,1,Ha,2,Ha,3,,Hangschutt,,"Hangschuttausauskarbonatreichem(KlK+)odersilikat.-karbonat.Mischmaterial(Siltite,Mergel+Karbonate)mitschwererBodenartu/ohohemFeinbodenanteil(KarbonatgehaltimAusg.gestein35-65%)(z.B.Feinklastikad.Werfener,WengenerSch.undKarbonatgest.)",
154,HaK-Schuttkarb.-arm,HaK-,Hangschuttkarbonat.-feinmaterialarm,K,K-,K,6,Ha,2,Ha,4,,Hangschutt,,HangschuttausHartkarbonaten(>95%Karbonat)mitgeringemFeinmaterialanteil,"Rendzinen(Moder-,Tangel-Rendzina)"
151,HaKaSchuttkarb.,HaKa,Hangschuttkarbonatisch,K,K,K,6,Ha,2,Ha,4,,Hangschutt,,HangschuttausKarbonatmaterial(85-95%Karb.))mitmittleremFeinbodenanteil(lU-L),Braunlehm-RendzinabisKalkbraunlehm
155,HaK+Schuttkarb.-reich,HaK+,Hangschuttkarbonat.-feinmaterialreich,K,K+,K,6,Ha,2,Ha,4,,Hangschutt,,HangschuttausKarbonaten(Karbonatgehalt65-85%)mitschwererBodenart(uL-L-T)u/ohohemFeinbodenanteil,
241,"HaTo\""Schutt\""tonig",HaTo,KolluvialeSedimentetonig-dicht,I,I+,I,3,Ha,2,Ha,1,,Hangschutt,,"HangschuttauskarbonatarmentonreichenGesteinen(Flysch,Werfener/GosauSchichten,Tonschiefer,etc.)meistmitstarkerRutschgefaehrdungbzw.VernaessungeninHangverflachungen",
146,Ki?0Schotterrezent,KiS0,Kies/Schottersilikat.-rezent,S,S-,S,4,Ki,12,Ki,1,,Alluviale Ablagerung,,"Schwemmmaterial-Kiese/Bachschotterausrueckstands-/basenarmen,quarzreichenSilikatgest.(uew.harte/armeGraniteundGneiseimEinzugsgebiet)ohnebzw.mitnurinitialerBodenbildung-z.B.Murenkegel);Bodenartsandiggrobskelettreich",Regosol
156,Ki?0Schotterrezent,KiK0,Kies/Schotterdolomit./karbonat.-rezent,K,K-,K,6,Ki,12,Ki,4,,Alluviale Ablagerung,,Schwemmmaterial-Kiese/Bachschotterkarbonatischrezent(reineKalk-/Dolomitschotter)-ohnebzw.mitnurinitialerBodenbildung-z.B.Murenkegel);grobskelettreich,Lockersediment-RohbodenKarbonatisch
166,Ki?0Schotterrezent,KiI0,Kies/Schotterintermed.-rezent,S,S,S,4,Ki,12,Ki,1,,Alluviale Ablagerung,,"Schwemmmaterial-Kiese/Bachschotterausrueckstands-/basenarmen,quarzreichenSilikatgest.(uew.harte/armeGraniteundGneiseimEinzugsgebiet)ohnebzw.mitnurinitialerBodenbildung-z.B.Murenkegel);Bodenartsandiggrobskelettreich",Regosol
176,Ki?0Schotterrezent,KiB0,Kies/Schotterbasisch-rezent,B,B-,B,5,Ki,12,Ki,2,,Alluviale Ablagerung,,Schwemmmaterial-Kiese/BachschotterausBasischenSilikatenmitgeringemFeinmaterialanteil-rezent,
186,Ki?0Schotterrezent,KiM0,Kies/Schottersilik.-karb.arm-rezent,M,M-,M,2,Ki,12,Ki,3,,Alluviale Ablagerung,,"Schwemmmaterial-Bachschotter/-kieseausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.Mischmaterial(Karbonatgehalt10-35%),rezent,feinbodenarm",
147,KiS-Schottersauer-arm,KiS-,,S,,S,4,Ki,12,Ki,1,,Alluviale Ablagerung,,,
142,KiSiSchottersauer,KiSi,Kies/Schottersilikatisch-sauer,S,S,S,4,Ki,12,Ki,1,,Alluviale Ablagerung,,"Schwemmmaterial-Kiese/Bachschotterausrueckstands-/basenarmen,quarzreichenSilikatgesteinen(uew.harte/armeGraniteundGneiseimEinzugsgebiet),Bodenartsandig-schluffig","Regosole,podsolierteBraunerdenbisPodsole"
148,KiS+Schottersauer-reich,KiS+,,S,,S,4,Ki,12,Ki,1,,Alluviale Ablagerung,,,
167,KiI-Schotterinterm.-arm,KiI-,,I,,I,3,Ki,12,Ki,1,,Alluviale Ablagerung,,,
162,KiInSchotterinterm.,KiIn,Kies/Schottersilikatisch-intermed.,I,I,I,3,Ki,12,Ki,1,,Alluviale Ablagerung,,Schwemmmaterial-Kiese/BachschotterMoraenenausbasenarmen/intermediaeremSilikatmaterialmitmittleremFeinbodenanteil(lU-sL),
168,KiI+Schotterinterm.-reich,KiI+,,I,,I,3,Ki,12,Ki,1,,Alluviale Ablagerung,,,
177,KiB-Schotterbasenr.-arm,KiB-,Kies/Schotterbasisch-feinmaterialarm,B,B-,B,5,Ki,12,Ki,2,,Alluviale Ablagerung,,Schwemmmaterial-Kiese/BachschotterausbasenreichenaberkalkfreiensandigenenundrueckstandsarmenSilikaten(SiB-):z.B.ausBrix.Granitod.TaufererGneis(tw.),
172,KiBaSchotterbasenr.,KiBa,Kies/Schotterbasisch-kalkfrei,B,B,B,5,Ki,12,Ki,2,,Alluviale Ablagerung,,Schwemmmaterial-Kiese/BachschotterausBasischenSilikatenmitmittleremFeinmaterialanteil(SchluffundLehm),
178,KiB+Schotterbasenr.-reich,KiB+,Kies/Schotterbasisch-feinmaterialreich,B,B+,B,5,Ki,12,Ki,2,,Alluviale Ablagerung,,Schwemmmaterial-Kiese/BachschotterausBasischenSilikatenmithohemFeinmaterialanteil(LehmundTon),
187,KiM-Schottersil.-karb.arm-arm,KiM-,Kies/Schottersilik.-karb.arm-feinmaterialarm,M,M-,M,2,Ki,12,Ki,3,,Alluviale Ablagerung,,"Schwemmmaterial-(Bach)Mischschotterausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitleichterBodenartu/ogeringemFeinbodenanteil(Karbonatgehalt10-35%)",
182,KiMiSchottersil.-karb.arm,KiMi,Kies/Schottersilikatisch-karbonatarm,M,M,M,2,Ki,12,Ki,3,,Alluviale Ablagerung,,"Schwemmmaterial-Kiese/Bachschotterausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitmittlererBodenart(lU-sL)u/omittleremFeinbodenanteil(Karbonatgehalt10-35%)",
188,KiM+Schottersil.-karb.arm-reich,KiM+,Kies/Schottersilik.-karb.arm-feinmaterialreich,M,M+,M,2,Ki,12,Ki,3,,Alluviale Ablagerung,,"Schwemmmaterialausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitschwererBodenartu/ohohemFeinbodenanteil(KarbonatgehaltimAusg.gestein10-35%),oftSchwemmmaterialmitlehmigem-tonigemFeinmaterial(z.B.Werfener,WengenerSch.)",
197,KiC-Schottersil.-karb.reich-arm,KiC-,Kies/Schottersilik.-karb.reich-feinmaterialarm,C,C-,C,1,Ki,12,Ki,3,,Alluviale Ablagerung,,"Schwemmmaterial-(Bach)MischschotterodergemischtausKarbonatenundSilikaten(Karbonatgehalt35-65%),rueckstandarm,grobskelettreich",
192,KiCaSchottersil.-karb.reich,KiCa,Kies/Schottersilikatisch-karbonatreich,C,C,C,1,Ki,12,Ki,3,,Alluviale Ablagerung,,"Schwemmmaterial-Kiese/Bachschotterausbasenreichenundkalkhaltigen(CaSi,KlKa)odergemischtausKarbonatenundSilikatgest.(Karbonatgehalt35-65%)mitmittleremFeinmaterialanteil",
