"NUMEROGIS"	"Genese"	"x1"	"x2"	"Genese-neu"	"ausgangssubstrat"	"Chemie-neu"	"passendste Genese"	"passendste Substratgruppe"	"bessersubstrat"	"bs2"	"chemie_gg_code"	"grund_fuer_substrat"	"grossgruppe"	"Lithologie"	"metamorphie"	"geomorphologie"	"Textur"	"Festgestein"
2599	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
2600	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
2601	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
2610	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
2619	"Si"	"SiBa"	"B"		"Si"				"x"			"lokale linsen"	51	"Aeklogit"	1	"silikatisches Festgestein"		1
2749	"Ka"	"Ka+"	"K"		"KaDo"	"I"			"m"			"??"	27	"Pelite, Siltite und Sandsteine"		"gemischtes Sedimentgestein"		1
2750	"Kl"		"C"		"Kl"						3		45	"Karbonat. Konglomerate und Brekzien"		"gemischtes Sedimentgestein"		1
2751	"Bl"				"Bl"				"x"	1			2	"Rutschmasse"		"Rutschmasse"		
2997	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
3001	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
3027	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
3253	"Ka"			"KaDo"	"KaDo"	"K"					4		46	"Dolomite"		"karbonatisches Festgestein"		1
3255	"Blockgletscher"				"Bl"				"x"				2	"Blockgletscher"		"Blockgletscher"		
3256	"Mo"				"Mo"				"x"	1			2	"Moraene undifferenziert"		"Moraene undifferenziert"		
3257	"Ha"				"Ha"				"x"	1			39	"Hangschutt"		"Hangschutt"		
3375	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
3377	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
3415	"Blockgletscher"				"Bl"				"x"				2	"Blockgletscher"		"Blockgletscher"		
3491	"Misch"				"Ki"				"x"	1			47	"gemischte Ablagerung"		"gemischte Ablagerung"		
3492	"Ha"				"Ha"				"x"	1			47	"Hangschutt"		"Hangschutt"		
3493	"Bl"				"Bl"				"x"	1			47	"Blockschutt"		"Blockschutt"		
3498	"Mur"				"Kl"				"x"	1			1	"gemischte Ablagerung"		"gemischte Ablagerung"		
3675	"Si"	"SiX"	"B"		"Si"	"I"			"x"			"wohl kleinraeunig"	49	"Epidot"		"silikatisches Festgestein"		1
4518	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
4519	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
5460	"Si"	"Sr"			"Si"	"I"					1		28	"Gneise"	1	"silikatisches Festgestein"		1
5471	"Mo"				"Mo"				"x"	1			2	"Ausschmelzmoraene"		"Ausschmelzmoraene"		
5473	"Mur"				"Ki"				"x"	1			1	"gemischte Ablagerung"		"gemischte Ablagerung"		
5480	"lakustrin"				"Ki"				"x"	1			2	"Lakustrine Ablagerung"		"Lakustrine Ablagerung"		
5484	"Blockgletscher"				"Bl"				"x"				2	"Blockgletscher"		"Blockgletscher"		
5486	"Mo"				"Mo"				"x"	1			48	"Ausschmelzmoraene"		"Ausschmelzmoraene"		
5488	"Mo"				"Mo"				"x"	1			2	"Ausschmelzmoraene"		"Ausschmelzmoraene"		
5490	"Anthr"				"Anthr"								1	"Anthropogen"		"Anthropogen"		
5491	"lakustrin"				"Org"				"x"	1			1	"Lakustrine Ablagerung"		"Lakustrine Ablagerung"		
