"NUMEROGIS"	"Genese"	"x1"	"x2"	"Genese-neu"	"ausgangssubstrat"	"Chemie-neu"	"passendste Genese"	"passendste Substratgruppe"	"bessersubstrat"	"bs2"	"chemie_gg_code"	"grund_fuer_substrat"	"grossgruppe"	"Lithologie"	"metamorphie"	"geomorphologie"	"Textur"	"Festgestein"
660	"Ki"				"Ki"					1			2	"Eisrandsedimente"		"Eisrandsedimente"		
663	"Si"	"Sil+"	"I"		"Si"	"I"	"Si"	"SiIn"			1		14	"Quarzphyllit"	1	"silikatisches Festgestein"		1
664	"Si"	"SiIn"	"I"		"Si"	"I"					1		14	"Hornfels"	1	"gemischtes Sedimentgestein"		1
665	"Si"	"SiSr"			"Si"	"S"					1		15	"Rhyodazite"		"silikatisches Festgestein"		1
666	"Si"	"SiSr"			"Si"	"S"					1		16	"Rhyodazite"		"silikatisches Festgestein"		1
667	"Si"	"SiSr"			"Si"	"S"					1		17	"Rhyodazite"		"silikatisches Festgestein"		1
668	"Kl"	"KlSi"	"I"		"Kl"	"I"					1		3	"Vulkan. Konglomerate und Brekzien"		"silikatisches Sedimentgestein"		1
670	"Si"	"SiSr"	"S"		"Si"	"S"					1		3	"Vulkan. Konglomerate und Brekzien"		"silikatisches Sedimentgestein"		1
672	"Si"	"SiIn"	"I"		"Si"	"S"		"SiSr"			1		18	"Granodiorite"		"silikatisches Festgestein"		1
673	"Si"	"SiX"	"B"	"Si"	"Si"	"S"			"x"		1	"Gaenge"	19	"Ultrabasite"		"silikatisches Festgestein"		1
674	"Si"	"SiSr"	"S"		"Si"	"S"			"x"		1	"Gaenge"	20	"Rhyodazite"		"silikatisches Festgestein"		1
676	"Kl"	"KlKa"	"C"		"Kl"	"C"			"x"		3	"Forst tlw ganz anders, auch eigene erfahrung passst dazu"	6	"Pelite, Siltite und Sandsteine"		"gemischtes Sedimentgestein"		1
680	"Do"	"Do "	"K"	"KaDo"	"KaDo"	"K"					4		21	"Dolomite"		"karbonatisches Festgestein"		1
681	"Kl"	"KlSi"	"I"		"Kl"	"I"		"KlSi"			1		3	"Vulkan. Konglomerate und Brekzien"		"silikatisches Sedimentgestein"		1
682	"Ka"	"Ka"	"K"		"KaDo"	"K"					4		22	"Kalke"		"karbonatisches Festgestein"		1
683	"Kl"	"KlSi"	"I"		"Kl"	"I"		"KlSi"			1		3	"Vulkan. Konglomerate und Brekzien"		"silikatisches Sedimentgestein"		1
684	"Do"	"Ka"	"K"	"KaDo"	"KaDo"	"K"					4		23	"Dolomite"		"karbonatisches Festgestein"		1
685	"Si"	"SiIn"	"I"		"Si"	"I"		"SiIn"			1		24	"Gneise"	1	"silikatisches Festgestein"		1
686	"Si"	"SiIn"	"I"		"Si"	"I"		"SiIn"			1		24	"Gneise"	1	"silikatisches Festgestein"		1
687	"Si"	"SiX"	"B"		"Si"	"B"		"SiBa"			2		24	"Peridotit"		"silikatisches Festgestein"		1
688	"Si"	"SiIn"	"I"		"Si"	"I"					1		24	"Gneise"	1	"silikatisches Festgestein"		1
689	"Si"	"SiIn"	"I"		"Si"	"I"					1		24	"Gneise"	1	"silikatisches Festgestein"		1
690	"Ka"	"Ka"	"K"		"KaDo"	"K"					4		25	"Kalke"		"karbonatisches Festgestein"		1
691	"Ka"	"KlKa"	"C"		"KaDo"	"C"					3		26	"Pelite, Siltite und Sandsteine"		"gemischtes Sedimentgestein"		1
692	"Kl"	"KlKa"	"C"		"Kl"	"C"		"KlK+"			3		27	"Pelite, Siltite und Sandsteine"		"gemischtes Sedimentgestein"		1
696	"Si"	"SiIn"	"I"		"Si"	"S"		"SiSr"			1		18	"Aplite"		"silikatisches Festgestein"		1
697	"Si"	"SiSr"	"S"		"Si"	"S"		"SiSr"			1		24	"Gneise"	1	"silikatisches Festgestein"		1
713	"Si"	"SiIn"	"I"		"Si"	"I"			"x"			"Gaenge"	19	"Andesite"		"silikatisches Festgestein"		1
725	"Si"	"SiIn"	"I"		"Si"	"I"					1		28	"Schiefer"	1	"silikatisches Festgestein"		1
726	"Si"	"SiIn"	"I"		"Si"	"S"					1		28	"Schiefer"	1	"silikatisches Festgestein"		1
727	"Si"	"SiBa"	"B"		"Si"	"B"					2		28	"Amphibolite"	1	"silikatisches Festgestein"		1
728	"Si"	"SiSr"	"S"		"Si"	"I"			"m"		1		29	"Gneise"	1	"silikatisches Festgestein"		1
734	"Ka"	"CaSi"	"C"		"Si"	"C"					3		28	"Marmore"	1	"karbonatisches Festgestein"		1
735	"Si"	"SiSr"	"S"		"Si"	"S"					1		28	"Pegmatite"		"silikatisches Festgestein"		1
736	"Si"	"SiSr"	"S"		"Si"	"S"					1		24	"Gneise"	1	"silikatisches Festgestein"		1
775	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
776	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
777	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
779	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
781	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
783	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
784	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
785	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
786	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
794	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
795	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
797	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
799	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
802	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
803	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
807	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
809	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
811	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
812	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
813	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
814	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
815	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
816	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
819	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
820	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
823	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
1752	"Sa"				"Ki"				"x"	1			1	"Alluvialer Schwemmfaecher"		"Alluvialer Schwemmfaecher"		
1753	"Sa U"				"Ki"				"x"	1			1	"Alluvialer Schwemmfaecher"		"Alluvialer Schwemmfaecher"		
1754	"Ki Sa"				"Ki"				"x"	1			1	"Alluvialer Schwemmfaecher"		"Alluvialer Schwemmfaecher"		
1793	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
1794	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
1795	"Bl"				"Bl"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
